code,char
97,а
11,б
27,в
48,г
45,д
49,е
152,ё
10,ж
145,з
43,и
138,й
3,к
38,л
95,м
77,н
106,о
206,п
144,р
92,с
110,т
98,у
164,ф
21,х
13,ц
68,ч
41,ш
16,щ
44,ъ
139,ы
99,ь
198,э
35,ю
210,я
14,А
189,Б
84,В
193,Г
130,Д
119,Е
188,Ё
90,Ж
9,З
168,И
209,Й
42,К
17,Л
78,М
183,Н
184,О
7,П
15,Р
67,С
50,Т
114,У
151,Ф
178,Х
113,Ц
111,Ч
197,Ш
72,Щ
5,Ъ
190,Ы
126,Ь
75,Э
18,Ю
52,Я
24, 
160,.
47,","
161,:
194,;
8,!
148,?
54,-
154,(
166,)
121,«
169,»
56,""""
135,'
180,0
40,1
167,2
100,3
171,4
105,5
63,6
65,7
59,8
158,9
88,A
136,B
104,C
46,D
62,E
143,F
124,G
76,H
83,I
170,J
4,K
1,L
34,M
37,N
185,O
55,P
116,Q
103,R
191,S
199,T
176,U
82,V
203,W
70,X
39,Y
85,Z
51,a
71,b
32,c
69,d
156,e
174,f
60,g
86,h
208,i
182,j
179,k
31,l
58,m
123,n
162,o
120,p
109,q
205,r
133,s
12,t
33,u
204,v
202,w
132,x
172,y
122,z
200,α
66,β
134,γ
177,δ
181,ε
129,ζ
155,η
29,θ
127,ι
141,κ
149,λ
102,μ
23,ν
108,ξ
118,ο
93,π
94,ρ
6,σ
79,τ
147,υ
36,φ
117,χ
186,ψ
74,ω
137,Α
201,Β
22,Γ
87,Δ
19,Ε
163,Ζ
207,Η
96,Θ
91,Ι
89,Κ
64,Λ
101,Μ
53,Ν
80,Ξ
173,Ο
195,Π
175,Ρ
2,Σ
115,Τ
25,Υ
73,Φ
28,Χ
20,Ψ
157,Ω
0,+
61,=
112,*
150,/
192,%
125,#
196,@
187,&
140,_
146,~
107,^
142,<
159,>
153,[
57,]
26,{
165,}
131,|
128,№
81,°
30,§
