pos,shift,relay
0,,LaTrappe-42
1,121,LaTrappe-42
2,83,LaTrappe-42
3,174,LaTrappe-42
4,,LaTrappe-42
5,115,LaTrappe-42
6,83,LaTrappe-42
7,106,LaTrappe-42
8,127,LaTrappe-42
9,119,LaTrappe-42
10,35,LaTrappe-42
11,139,LaTrappe-42
12,206,LaTrappe-42
13,43,LaTrappe-42
14,39,LaTrappe-42
15,151,LaTrappe-42
16,133,LaTrappe-42
17,52,LaTrappe-42
18,111,LaTrappe-42
19,159,LaTrappe-42
20,86,LaTrappe-42
21,117,LaTrappe-42
22,,LaTrappe-42
23,59,LaTrappe-42
24,181,LaTrappe-42
25,181,LaTrappe-42
26,17,LaTrappe-42
27,140,LaTrappe-42
28,102,LaTrappe-42
29,,LaTrappe-42
30,50,LaTrappe-42
31,165,LaTrappe-42
32,44,LaTrappe-42
33,168,LaTrappe-42
34,165,LaTrappe-42
35,12,LaTrappe-42
36,12,LaTrappe-42
37,115,LaTrappe-42
38,193,LaTrappe-42
39,164,LaTrappe-42
40,48,LaTrappe-42
41,123,LaTrappe-42
42,182,LaTrappe-42
43,173,LaTrappe-42
44,138,LaTrappe-42
45,33,LaTrappe-42
46,165,LaTrappe-42
47,135,LaTrappe-42
48,55,LaTrappe-42
49,201,LaTrappe-42
50,,LaTrappe-42
51,35,LaTrappe-42
52,41,LaTrappe-42
53,169,LaTrappe-42
54,47,LaTrappe-42
55,99,LaTrappe-42
56,180,LaTrappe-42
57,108,LaTrappe-42
58,136,LaTrappe-42
59,106,LaTrappe-42
60,20,LaTrappe-42
61,98,LaTrappe-42
62,78,LaTrappe-42
63,43,LaTrappe-42
64,88,LaTrappe-42
65,44,LaTrappe-42
66,67,LaTrappe-42
67,118,LaTrappe-42
68,127,LaTrappe-42
69,199,LaTrappe-42
70,208,LaTrappe-42
71,106,LaTrappe-42
72,73,LaTrappe-42
73,119,LaTrappe-42
74,45,LaTrappe-42
75,83,LaTrappe-42
76,132,LaTrappe-42
77,192,LaTrappe-42
78,113,LaTrappe-42
79,30,LaTrappe-42
80,84,LaTrappe-42
81,203,LaTrappe-42
82,134,LaTrappe-42
83,190,LaTrappe-42
