pos,code
73,170
12,3
90,137
22,45
62,155
78,164
139,157
13,67
72,97
19,202
44,29
97,198
86,18
46,3
27,120
52,118
127,62
143,72
148,134
39,191
84,203
67,67
113,37
140,4
100,114
51,59
6,130
10,33
131,124
58,20
61,195
115,169
70,153
99,55
135,41
47,146
128,62
75,203
59,130
119,172
0,137
68,151
56,107
33,6
81,61
21,105
57,3
114,26
41,122
63,46
35,73
11,206
142,89
117,160
123,8
8,172
120,189
147,179
26,100
133,18
34,60
17,101
1,54
130,59
29,62
18,149
32,68
50,13
85,9
101,35
23,147
111,207
28,90
77,117
129,6
48,54
126,13
149,42
87,105
138,110
134,26
54,115
136,208
107,36
83,43
82,158
76,77
122,28
66,205
151,12
4,126
96,13
108,147
141,109
20,110
145,15
92,64
124,139
71,100
25,25
43,72
69,43
2,126
74,178
40,86
53,55
110,107
38,79
15,194
102,196
98,138
93,133
125,163
42,6
88,67
36,57
146,81
112,113
132,9
91,140
94,115
7,55
45,143
104,62
121,174
37,48
49,14
64,198
95,138
30,90
109,27
118,26
55,196
137,53
103,181
9,52
116,182
80,185
89,25
144,124
31,23
79,54
5,14
60,165
24,17
14,129
150,70
106,34
65,87
105,3
3,201
16,32
